id,nama_usaha,email_usaha,kategori,belum_online,tgl_dibentuk,omset_2020,omset_2021,provinsi
1,PT Sihombing,jumari.prastuti@siregar.co,kuliner,1,2017-11-09,34.48507298962673,44.024188820868105,jawa_timur
2,UD Mayasari,lthamrin@waskita.net,pengrajin_kulit,0,2010-07-30,48.37288066094375,10.04804087623305,jawa_timur
3, Usamah Maulana,susanti.latika@hastuti.info,kuliner,0,2015-05-27,17.305106336642353,59.92066466827858,jawa_barat
4,UD Firmansyah  ,lmardhiyah@prabowo.asia,kuliner,0,2010-12-05,24.302636467506296,53.2216590399593,jawa_tengah
5,UD Mahendra Permadi,karma.andriani@palastri.name,pengrajin_kulit,1,2005-08-23,65.2466616889872,57.696548840492284,jawa_timur
6,UD Pradana,mardhiyah.mitra@wacana.go.id,fashion,1,2016-10-18,5.036311110750297,37.63941277577751,jawa_tengah
7, Susanti,bdamanik@gunawan.asia,pengrajin_kulit,1,2005-03-01,33.18134864575758,69.7731200025278,DKI_jakarta
8,UD Natsir Waskita ,danuja.thamrin@nurdiyanti.biz.id,fashion,1,2006-08-09,50.30518308022799,4.736276029027332,jawa_tengah
9,PD Riyanti,osamosir@megantara.asia,pengrajin_kulit,1,2010-11-27,11.99299990914433,29.11837175462782,jawa_tengah
10,PD Prakasa Gunawan,laksmiwati.salimah@rahmawati.co.id,fashion,0,2017-08-02,4.954698085974301,23.838395755061796,jawa_barat
11,UD Kuswoy,sadina15@winarno.tv,pengrajin_kulit,1,2008-01-24,11.15666277547888,66.49351465209914,jawa_tengah
12,CV Namaga Mayasari,upratama@namaga.web.id,kuliner,0,2010-05-18,64.45724765427504,41.10806624621564,jawa_timur
13,UD Rahmawati,saragih.jatmiko@tarihoran.go.id,fashion,0,2000-11-15,2.352257902746307,56.76671912056584,jawa_barat
14,UD Prayoga Nurdiyanti ,kajen99@pratiwi.ac.id,agribisnis,1,2002-06-07,14.578624440119103,13.350896703003668,jawa_timur
15,CV Rahmawati Prasetya ,wirda42@tamba.desa.id,pengrajin_kulit,0,2001-03-05,3.85603826092429,68.54113934552197,jawa_timur
16,UD Prasetya Hutagalung,eprasetya@lailasari.asia,agribisnis,0,2001-07-06,9.27378004514724,35.7671082607148,jawa_timur
17,UD Yuliarti Prabowo  ,dimas.widodo@melani.co.id,kuliner,0,2018-03-29,44.063793290980065,35.427929367759695,jawa_timur
18,CV Purnawati ,gada.nugroho@yuniar.tv,fashion,1,2017-09-06,18.219104688704775,68.01200926510298,jawa_timur
19,UD Pradana Manullang ,dalima.latupono@purwanti.com,fashion,0,2017-04-05,40.58579880340661,27.716405623906663,jawa_barat
20,CV Yolanda Irawan  ,uyainah.usman@rahayu.info,pengrajin_kulit,0,2001-03-02,42.018540735271095,28.863008676614918,jawa_timur
21,PT Habibi,rahayu.agnes@yuniar.in,agribisnis,1,2001-08-18,59.71944454337011,41.64691454752107,jawa_timur
22,PD Santoso Prayoga,zmulyani@susanti.biz,fashion,0,2005-11-22,2.0437423080227513,10.463432248202892,jawa_tengah
23, Nurdiyanti ,tasdik18@suryono.ac.id,pengrajin_kulit,1,2011-11-15,59.988066683896804,23.64372657140145,jawa_timur
24,PD Aryani ,martana11@jailani.biz,agribisnis,1,2007-01-07,43.993451221233784,14.912264256553513,jawa_timur
25,UD Halim  ,prayitna.wastuti@prasetyo.co.id,agribisnis,1,2010-03-29,12.832125231246506,8.772195953429348,jawa_timur
26,CV Nababan,tantri67@widiastuti.mil.id,kuliner,0,2003-08-20,54.49616486187719,60.86035372028205,jawa_timur
27,PD Thamrin Hasanah ,jane26@fujiati.in,kuliner,0,2015-05-07,60.13296247346119,41.95953202318407,DKI_jakarta
28,PT Oktaviani Suryon,hartati.melinda@rahimah.com,pengrajin_kulit,0,2006-08-04,19.08111067073386,26.210178205525775,jawa_tengah
29,PT Saefullah,virman50@mustofa.ac.id,fashion,1,2001-05-25,64.45523253203505,29.62394508659915,DKI_jakarta
30,PT Anggriawan Sihotang,patricia.hutagalung@firgantoro.net,kuliner,0,2015-08-07,32.75035334079236,31.184117571772575,DKI_jakarta
31,UD Halimah,paramita.budiyanto@setiawan.net,fashion,0,2018-12-17,42.92182174187919,44.95142615684075,jawa_timur
32, Pudjiastuti ,kasiyah.marpaung@siregar.asia,fashion,0,2000-04-22,68.9518701554127,64.99981405086847,jawa_tengah
33, Yulianti Winarsih,luis.anggraini@kuswoyo.asia,agribisnis,1,2009-03-03,26.40568344948453,65.41019243017877,jawa_timur
34, Salahudin Pratama,ajeng.gunawan@lailasari.asia,pengrajin_kulit,0,2017-05-16,57.242520132597306,28.451072362353695,DKI_jakarta
35,PD Sihombing Lailasari,irsad27@sihotang.my.id,kuliner,1,2014-10-30,23.460291765327224,24.202040741335704,jawa_barat
36,UD Gunawan Mardhiyah ,lukman.namaga@marbun.co.id,fashion,0,2017-12-27,56.290299298649,32.51745503264922,jawa_tengah
37,PD Halim,amelia.prasetya@prayoga.com,pengrajin_kulit,0,2008-09-20,42.73811197994123,40.49854925365747,jawa_barat
38,CV Haryanti,prasetya.genta@suartini.web.id,agribisnis,0,2007-10-26,16.492766869990408,33.25292699378881,DKI_jakarta
